AssignmentId,WorkerId,bonus,bonus reason,code
34J10VATJG55FBOB6SHV30I3OK2QI0,AIV842WA1CLZZ,80,Bonus for Pacman video HIT. Thank you!,17a96a1b
3WETL7AQWUF1WMNU1XM51JLN96I350,AL0C2ZZKMONS5,30,Bonus for Pacman video HIT. Thank you!,1bc969c5
3ZY8KE4ISKAA1H8B5ZGEIP8XWMVQVU,ADAJM2AFAB56T,60,Bonus for Pacman video HIT. Thank you!,1cd9645b
386CSBG1O0TPMRTA4R866XSYFT86QN,A1EK1RN2IS5MJM,70,Bonus for Pacman video HIT. Thank you!,20e96be4
3HHRAGRYX9C9JYISNLJE12O0QTUO94,AT2293NT7FZ83,50,Bonus for Pacman video HIT. Thank you!,2fd961e4
3JBT3HLQF996APC66JQS3QVJF1FPZ2,AWF9NK7QCH0R1,30,Bonus for Pacman video HIT. Thank you!,47f962d0
3GD6L00D3T43UQUL6SP8USHCXHX1MZ,A1M71TPMGSZ39F,60,Bonus for Pacman video HIT. Thank you!,49e96e1f
3WSELTNVR49319X5B8JDR757VJTATR,A3ENEL67VOT3CQ,40,Bonus for Pacman video HIT. Thank you!,77b96386
32AT8R96GMGM1IYOSDVEH3LF037USY,A3095ABT1L25QK,50,Bonus for Pacman video HIT. Thank you!,7ab96623
3TOK3KHVJUP55FUZ8OLUN6XUV397OE,A2YJ65T8Q93E6V,60,Bonus for Pacman video HIT. Thank you!,8bc969c1
31LVTDXBL8H7HDBH4A3806K01AWLR8,ACD5MC3BAHCD8,60,Bonus for Pacman video HIT. Thank you!,98f9670b
3PM8NZGV8ZN256D65EHW6A5ICX5QXZ,AJRY9ALX8069Y,40,Bonus for Pacman video HIT. Thank you!,a9e968c1
3VNXK88KKDP49IRPOX5SWUI8MMRV9D,A39DXW1WLC431I,50,Bonus for Pacman video HIT. Thank you!,b7a96597
3S0TNUHWKUPI1W8TSKZKQCHQ2958D2,A11M8UUM1MHMAW,30,Bonus for Pacman video HIT. Thank you!,d7e960ad
3BXQMRHWK05J3NLJ8GZS5UM98ERUMO,A2X4LZ6WSP0H10,30,Bonus for Pacman video HIT. Thank you!,e5f96958
